fid,id,left,top,right,bottom,row_index,col_index,ALS_30m_51mean
"71457","71457",341203.875535156,6533065.8492533,341233.875535156,6533035.8492533,"294","221",1.86649525730673
"71458","71458",341203.875535156,6533035.8492533,341233.875535156,6533005.8492533,"295","221",0.330540119956892
"71756","71756",341233.875535156,6533755.8492533,341263.875535156,6533725.8492533,"271","222",0.849718863317916
"71757","71757",341233.875535156,6533725.8492533,341263.875535156,6533695.8492533,"272","222",0.419433565866161
"71758","71758",341233.875535156,6533695.8492533,341263.875535156,6533665.8492533,"273","222",0.52544113509357
"71759","71759",341233.875535156,6533665.8492533,341263.875535156,6533635.8492533,"274","222",0.677233008253906
"71760","71760",341233.875535156,6533635.8492533,341263.875535156,6533605.8492533,"275","222",0.758864396620128
"71761","71761",341233.875535156,6533605.8492533,341263.875535156,6533575.8492533,"276","222",0.930677542106973
"71762","71762",341233.875535156,6533575.8492533,341263.875535156,6533545.8492533,"277","222",0.889517126662864
"71763","71763",341233.875535156,6533545.8492533,341263.875535156,6533515.8492533,"278","222",0.822189491871331
"71764","71764",341233.875535156,6533515.8492533,341263.875535156,6533485.8492533,"279","222",0.917491832855675
"71765","71765",341233.875535156,6533485.8492533,341263.875535156,6533455.8492533,"280","222",0.827884441937009
"71766","71766",341233.875535156,6533455.8492533,341263.875535156,6533425.8492533,"281","222",1.04885422233078
"71767","71767",341233.875535156,6533425.8492533,341263.875535156,6533395.8492533,"282","222",0.825918277568287
"71768","71768",341233.875535156,6533395.8492533,341263.875535156,6533365.8492533,"283","222",1.16903259910643
"71769","71769",341233.875535156,6533365.8492533,341263.875535156,6533335.8492533,"284","222",0.841056979911195
"71770","71770",341233.875535156,6533335.8492533,341263.875535156,6533305.8492533,"285","222",0.690448128994968
"71771","71771",341233.875535156,6533305.8492533,341263.875535156,6533275.8492533,"286","222",0.982264392467009
"71772","71772",341233.875535156,6533275.8492533,341263.875535156,6533245.8492533,"287","222",0.66649252783921
"71773","71773",341233.875535156,6533245.8492533,341263.875535156,6533215.8492533,"288","222",1.38393022191193
"71774","71774",341233.875535156,6533215.8492533,341263.875535156,6533185.8492533,"289","222",1.46681366991666
"71775","71775",341233.875535156,6533185.8492533,341263.875535156,6533155.8492533,"290","222",0.601259650637706
"71776","71776",341233.875535156,6533155.8492533,341263.875535156,6533125.8492533,"291","222",0.870368676582972
"71777","71777",341233.875535156,6533125.8492533,341263.875535156,6533095.8492533,"292","222",1.37478237963385
"71778","71778",341233.875535156,6533095.8492533,341263.875535156,6533065.8492533,"293","222",1.34064587662617
"71779","71779",341233.875535156,6533065.8492533,341263.875535156,6533035.8492533,"294","222",0.347102341697448
"71780","71780",341233.875535156,6533035.8492533,341263.875535156,6533005.8492533,"295","222",0.386025517870905
"72079","72079",341263.875535156,6533725.8492533,341293.875535156,6533695.8492533,"272","223",0.368763508478392
"72080","72080",341263.875535156,6533695.8492533,341293.875535156,6533665.8492533,"273","223",0.333370881560776
"72081","72081",341263.875535156,6533665.8492533,341293.875535156,6533635.8492533,"274","223",0.471617165754239
